COURSES.Course_Number,COURSES.Course_Name
9908,Parking Lot Supervision
9909,Locker Room Supervision
9910,Technology Integration
505L,Biology Honors Lab
506L,Biology Lab
530L,AP Biology Lab
510L,Chemistry Lab
511L,Chemistry Honors Lab
512L,AP Chemistry Lab
522L,AP Physics C - Mechanics Lab
523L,AP Physics C - E and M Lab
Soph HR,Sophomore Homeroom
Junior HR,Junior Homeroom
Senior HR,Senior Homeroom
9911,Auditorium Student Supervision
91001,Intro. to Information Sciences & Tech.
9810,Advanced Music Studies
91050,Digital Images w/ Adobe Photoshop
91029,Network Management
91030,Intro. to Programming: Visual Basic
91069,Multimedia Management
91089,Print Design Management
91079,Website Management
91020,Installing & Configuring Windows Server
91051,Digital Imaging w/ Photoshop Online
91081,Adv. Visual Communication using Adobe CC
