CC.Course_Number,CC.Section_Number,CC.TermID,CC.Expression,CC.PowerschoolID
264,2,3300,"6-7(B,D,F,H)",96
981,41,3301,"8(A,C,E,G)",96
982,41,3301,"8(B,D,F,H)",96
984,41,3302,"8(B,D,F,H)",96
1175,4,3302,4-5(F),96
1176,1,3301,2-3(C),96
1092,3,3301,"4-5(A,C,E,G)",99
110,1,3300,"2-3(A,C,E,G)",99
1176,11,3301,12-13(E),99
485,1,3300,"6-7(A,C,E,G)",99
527,3,3300,"6-7(B,D,F,H)",99
1175,11,3302,12-13(E),99
252,4,3300,"10-11(B,D,F,H)",99
340,4,3300,"10-11(A,C,E,G)",99
521,1,3300,"2-3(B,D,F,H)",99
981,42,3301,"9(A,C,E,G)",99
983,42,3302,"9(A,C,E,G)",99
Senior HR,4,3300,1(A-H),99
719,8,3302,"8-9(B,D,F,H)",99
727,1,3301,"4-5(B,D,F,H)",99
982,41,3301,"8(B,D,F,H)",99
984,22,3302,"5(B,D,F,H)",99
252,1,3300,"6-7(A,C,E,G)",100
527,3,3300,"6-7(B,D,F,H)",100
530,1,3300,"2-4(E,G)",100
558,1,3301,"8-9(A,C,E,G)",100
981,51,3301,"10(A,C,E,G)",100
340,6,3300,"2-3(B,D,F,H)",100
530L,1,3300,"2-4(A,C)",100
710,2,3302,"8-9(A,C,E,G)",100
983,51,3302,"10(A,C,E,G)",100
1175,4,3302,4-5(F),100
1176,4,3301,4-5(F),100
110,11,3300,"10-11(B,D,F,H)",100
982,41,3301,"8(B,D,F,H)",100
984,41,3302,"8(B,D,F,H)",100
729,2,3300,"12-13(A,C,E,G)",100
Senior HR,1,3300,1(A-H),100
110,2,3300,"4-5(A,C,E,G)",102
340,5,3300,"12-13(A,C,E,G)",102
1176,9,3301,10-11(C),102
710,4,3302,"10-11(A,C,E,G)",102
1094,1,3301,"4-5(B,D,F,H)",102
264,1,3300,"6-7(A,C,E,G)",102
806,2,3300,"14(B,D,F,H)",102
514,4,3300,"2-3(B,D,F,H)",102
852,2,3300,"10-11(B,D,F,H)",102
982,32,3301,"7(B,D,F,H)",102
984,32,3302,"7(B,D,F,H)",102
981,41,3301,"8(A,C,E,G)",102
983,41,3302,"8(A,C,E,G)",102
1175,4,3302,4-5(F),102
412,4,3300,"8-9(B,D,F,H)",102
Senior HR,1,3300,1(A-H),102
110,7,3300,"2-3(B,D,F,H)",104
1175,9,3302,10-11(C),104
982,32,3301,"7(B,D,F,H)",104
983,32,3302,"7(A,C,E,G)",104
1176,10,3301,10-11(D),104
225,4,3300,"12-13(A,C,E,G)",104
340,1,3300,"2-3(A,C,E,G)",104
376,2,3302,"6-7(B,D,F,H)",104
412,4,3300,"8-9(B,D,F,H)",104
540,4,3300,"12-13(B,D,F,H)",104
645,2,3302,"4-5(B,D,F,H)",104
710,2,3302,"8-9(A,C,E,G)",104
714,1,3301,"8-9(A,C,E,G)",104
719,3,3301,"10-11(A,C,E,G)",104
981,31,3301,"6(A,C,E,G)",104
984,51,3302,"10(B,D,F,H)",104
Senior HR,1,3300,1(A-H),104
981,41,3301,"8(A,C,E,G)",108
254,2,3300,"10-11(A,C,E,G)",108
110,12,3300,"12-13(B,D,F,H)",108
982,41,3301,"8(B,D,F,H)",108
983,41,3302,"8(A,C,E,G)",108
1175,5,3302,6-7(C),108
1176,5,3301,6-7(C),108
345,1,3300,"2-3(A,C,E,G)",108
520,1,3300,"12-13(A,C,E,G)",108
716,1,3301,"2-4(B,D,F,H)",108
729,1,3300,"4-5(A,C,E,G)",108
984,41,3302,"8(B,D,F,H)",108
376,2,3302,"6-7(B,D,F,H)",108
717,1,3302,"2-4(B,D,F,H)",108
852,2,3300,"10-11(B,D,F,H)",108
Senior HR,1,3300,1(A-H),108
1175,11,3302,12-13(E),112
264,2,3300,"6-7(B,D,F,H)",112
489,1,3300,"10-11(B,D,F,H)",112
545,2,3300,"2-3(B,D,F,H)",112
729,1,3300,"4-5(A,C,E,G)",112
110,4,3300,"8-9(A,C,E,G)",112
345,1,3300,"2-3(A,C,E,G)",112
984,22,3302,"5(B,D,F,H)",112
252,2,3300,"10-11(A,C,E,G)",112
981,32,3301,"7(A,C,E,G)",112
983,32,3302,"7(A,C,E,G)",112
Senior HR,6,3300,1(A-H),112
714,3,3301,"8-9(B,D,F,H)",112
982,22,3301,"5(B,D,F,H)",112
1176,11,3301,12-13(E),112
110,10,3300,"8-9(B,D,F,H)",114
1176,11,3301,12-13(E),114
1180,66,3300,"12(B-D,F-H) 13(B-C,F,H)",114
340,9,3300,"10-11(B,D,F,H)",114
514,4,3300,"2-3(B,D,F,H)",114
645,2,3302,"4-5(B,D,F,H)",114
